customer_id,gender,age,married,number_of_dependents,city,zip_code,latitude,longitude,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,customer_status,churn_category,churn_reason
0023-XUOPT,Female,26,Yes,0,"Carnelian Bay",96140,39.22743400,-120.09180600,1,13,None,Yes,43.56,Yes,Yes,"Fiber Optic",52.00,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",94.10,1215.60,0.00,0.00,566.28,1781.88,Churned,Other,"Don't know"
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35.86962600,-119.49877100,1,23,"Offer D",Yes,34.91,Yes,Yes,"Fiber Optic",30.00,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",83.75,1849.95,0.00,0.00,802.93,2652.88,Stayed,,
0036-IHMOT,Female,37,Yes,3,Parlier,93648,36.62223700,-119.52112600,10,55,None,Yes,35.04,No,Yes,"Fiber Optic",57.00,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"One Year",Yes,"Bank Withdrawal",103.70,5656.75,0.00,20.00,1927.20,7603.95,Stayed,,
0048-LUMLS,Male,23,Yes,3,"Moss Beach",94038,37.51555600,-122.50231100,1,37,"Offer C",Yes,43.01,No,Yes,"Fiber Optic",51.00,No,No,No,No,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",91.20,3247.55,0.00,0.00,1591.37,4838.92,Stayed,,
0052-DCKON,Male,28,Yes,0,"Los Angeles",90063,34.04427100,-118.18523700,9,66,None,Yes,43.77,Yes,Yes,"Fiber Optic",41.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",-2.00,7942.15,0.00,0.00,2888.82,10830.97,Stayed,,
0058-EVZWM,Female,37,Yes,0,Stockton,95209,38.04452300,-121.34804800,2,55,"Offer B",Yes,5.08,Yes,Yes,"Fiber Optic",9.00,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.80,4959.60,0.00,0.00,279.40,5239.00,Stayed,,
0060-FUALY,Female,60,Yes,0,"Los Angeles",90003,33.96413100,-118.27278300,4,59,"Offer B",Yes,16.39,Yes,Yes,"Fiber Optic",14.00,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.75,5597.65,0.00,0.00,967.01,6564.66,Stayed,,
0064-YIJGF,Male,60,Yes,3,Yermo,92398,35.01329900,-116.83409200,7,27,"Offer C",Yes,25.26,Yes,Yes,"Fiber Optic",23.00,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",75.75,1929.00,0.00,0.00,682.02,2611.02,Stayed,,
0067-DKWBL,Male,69,No,0,"San Diego",92129,32.96106400,-117.13491700,0,2,None,Yes,43.99,No,Yes,DSL,27.00,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",49.25,91.10,0.00,0.00,87.98,179.08,Churned,Competitor,"Competitor made better offer"
0068-FIGTF,Female,20,No,0,Fremont,94539,37.51679100,-121.89911700,0,27,"Offer C",Yes,48.91,No,Yes,DSL,59.00,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",78.20,2078.95,0.00,0.00,1320.57,3399.52,Stayed,,
0074-HDKDG,Male,46,Yes,0,"San Jose",95126,37.32706900,-121.91681900,5,25,None,Yes,6.45,No,Yes,Cable,19.00,Yes,Yes,Yes,No,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",61.60,1611.00,44.90,0.00,161.25,1727.35,Stayed,,
0078-XZMHT,Male,19,Yes,0,Visalia,93291,36.39177700,-119.37284200,5,72,None,Yes,32.36,Yes,Yes,DSL,52.00,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",85.15,6316.20,0.00,0.00,2329.92,8646.12,Stayed,,
0080-EMYVY,Female,64,No,0,Lodi,95240,38.12354400,-121.15907800,0,14,None,Yes,24.04,No,Yes,Cable,12.00,No,Yes,No,No,No,No,No,Yes,"One Year",No,"Credit Card",51.45,727.85,0.00,0.00,336.56,1064.41,Stayed,,
0080-OROZO,Female,38,No,0,"El Portal",95318,37.65455100,-119.82298400,0,35,"Offer C",Yes,36.42,No,Yes,"Fiber Optic",2.00,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",99.25,3532.00,0.00,0.00,1274.70,4806.70,Stayed,,
0082-LDZUE,Male,54,No,0,Calistoga,94515,38.62961800,-122.59321600,0,1,"Offer E",Yes,42.95,No,Yes,DSL,9.00,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",44.30,44.30,0.00,0.00,42.95,87.25,Joined,,
0082-OQIQY,Male,50,No,0,Farmington,95230,37.95696300,-120.86305500,0,29,None,Yes,2.05,No,Yes,"Fiber Optic",17.00,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",94.20,2607.60,0.00,20.00,59.45,2687.05,Stayed,,
0083-PIVIK,Male,25,No,0,Tulelake,96134,41.81352100,-121.49266600,0,64,None,Yes,5.49,Yes,Yes,DSL,69.00,Yes,Yes,Yes,Yes,Yes,No,No,No,"One Year",No,"Bank Withdrawal",81.25,5567.55,0.00,40.00,351.36,5958.91,Stayed,,
0089-IIQKO,Female,35,Yes,3,Coleville,96107,38.42528000,-119.47574100,1,39,None,Yes,24.38,Yes,Yes,"Fiber Optic",53.00,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",99.95,3767.40,0.00,0.00,950.82,4718.22,Stayed,,
0093-EXYQL,Female,72,No,0,Ojai,93023,34.58130800,-118.93194800,0,40,None,Yes,44.14,No,Yes,"Fiber Optic",23.00,No,No,No,No,Yes,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",91.55,3673.60,0.00,0.00,1765.60,5439.20,Stayed,,
0093-XWZFY,Male,51,No,0,"Desert Hot Springs",92241,33.83279900,-116.25097300,0,40,None,Yes,37.69,Yes,Yes,"Fiber Optic",15.00,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",104.50,4036.85,0.00,0.00,1507.60,5544.45,Churned,Competitor,"Competitor had better devices"
0094-OIFMO,Female,78,No,1,"North Hollywood",91605,34.20729500,-118.40002200,0,11,"Offer D",Yes,11.59,No,Yes,"Fiber Optic",29.00,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,"Bank Withdrawal",95.00,1120.30,0.00,120.00,127.49,1367.79,Churned,Dissatisfaction,"Product dissatisfaction"
0096-BXERS,Female,30,Yes,0,Inverness,94937,38.09932300,-122.94572300,10,6,"Offer E",Yes,42.66,Yes,Yes,Cable,85.00,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",50.35,314.55,0.00,0.00,255.96,570.51,Stayed,,
0096-FCPUF,Male,58,No,0,"Santa Rosa",95404,38.52694100,-122.70909600,0,30,None,Yes,2.64,Yes,Yes,DSL,15.00,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Mailed Check",64.50,1888.45,0.00,0.00,79.20,1967.65,Stayed,,
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,33.78206800,-118.26226300,3,70,None,Yes,39.49,Yes,Yes,"Fiber Optic",28.00,No,Yes,Yes,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",104.80,7308.95,6.11,0.00,2764.30,10067.14,Stayed,,
0103-CSITQ,Female,20,Yes,0,Modesto,95357,37.67052600,-120.87757200,10,57,"Offer B",Yes,8.01,Yes,Yes,"Fiber Optic",73.00,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",109.40,6252.70,0.00,0.00,456.57,6709.27,Stayed,,
0104-PPXDV,Male,61,Yes,0,"San Diego",92113,32.69709800,-117.11658700,10,58,None,Yes,18.37,No,Yes,DSL,18.00,No,No,Yes,No,No,No,No,Yes,"One Year",No,"Credit Card",50.30,2878.55,10.23,0.00,1065.46,3933.78,Stayed,,
0106-GHRQR,Male,24,No,0,"Rancho Palos Verdes",90275,33.75314600,-118.36745900,0,16,None,Yes,25.71,Yes,Yes,DSL,48.00,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",71.40,1212.10,0.00,0.00,411.36,1623.46,Stayed,,
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,38.41952500,-122.52158500,3,69,"Offer A",Yes,38.52,Yes,Yes,"Fiber Optic",27.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",116.00,8182.85,0.00,0.00,2657.88,10840.73,Stayed,,
0107-YHINA,Male,59,No,0,"Los Angeles",90062,34.00355300,-118.30893300,0,1,None,Yes,40.71,Yes,Yes,"Fiber Optic",25.00,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",99.75,99.75,0.00,0.00,40.71,140.46,Churned,Competitor,"Competitor had better devices"
0111-KLBQG,Male,71,Yes,1,"Morongo Valley",92256,34.09786300,-116.59456100,9,32,"Offer C",Yes,31.86,No,Yes,"Fiber Optic",23.00,No,Yes,No,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Mailed Check",93.95,2861.45,0.00,0.00,1019.52,3880.97,Stayed,,
0112-QAWRZ,Male,49,Yes,2,"Palo Verde",92266,33.32490000,-114.75833400,8,16,"Offer D",Yes,48.71,Yes,Yes,"Fiber Optic",12.00,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",90.80,1442.20,0.00,0.00,779.36,2221.56,Stayed,,
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,34.39583000,-117.73456800,1,49,"Offer B",Yes,39.55,Yes,Yes,Cable,10.00,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",84.35,4059.35,0.00,0.00,1937.95,5997.30,Churned,Competitor,"Competitor offered higher download speeds"
0114-PEGZZ,Female,39,No,0,"Round Mountain",96084,40.92355800,-122.05993300,0,33,None,Yes,49.69,Yes,Yes,"Fiber Optic",12.00,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",107.55,3645.50,0.00,0.00,1639.77,5285.27,Stayed,,
0115-TFERT,Male,24,Yes,0,Fresno,93650,36.84165500,-119.79711300,1,21,None,Yes,36.26,Yes,Yes,"Fiber Optic",59.00,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",111.20,2317.10,0.00,120.00,761.46,3198.56,Churned,Attitude,"Attitude of service provider"
0118-JPNOY,Female,71,No,0,"Le Grand",95333,37.24937700,-120.24958100,0,26,None,Yes,33.74,No,Yes,"Fiber Optic",7.00,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",85.80,2193.65,0.00,0.00,877.24,3070.89,Stayed,,
0122-OAHPZ,Female,29,No,0,"San Diego",92122,32.85723000,-117.20977400,0,7,None,Yes,28.62,Yes,Yes,"Fiber Optic",26.00,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.85,511.25,13.03,0.00,200.34,698.56,Churned,Competitor,"Competitor made better offer"
0123-CRBRT,Female,62,Yes,0,"Monterey Park",91755,34.04917200,-118.11502200,1,61,"Offer B",Yes,47.19,Yes,Yes,DSL,28.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Mailed Check",88.10,5526.75,0.00,0.00,2878.59,8405.34,Stayed,,
0125-LZQXK,Male,42,No,0,"Big Oak Flat",95305,37.81858900,-120.25699500,0,15,"Offer D",Yes,45.92,No,Yes,"Fiber Optic",12.00,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",101.35,1553.95,0.00,0.00,688.80,2242.75,Churned,Attitude,"Attitude of service provider"
0129-KPTWJ,Male,39,Yes,0,"North Highlands",95660,38.67129500,-121.38825100,9,72,None,Yes,33.22,No,Yes,"Fiber Optic",23.00,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.65,6747.35,0.00,0.00,2391.84,9139.19,Stayed,,
0130-SXOUN,Male,55,No,0,Glenhaven,95443,39.04524600,-122.74318100,0,66,"Offer A",Yes,48.78,Yes,Yes,"Fiber Optic",8.00,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,"Credit Card",89.40,5976.90,36.02,40.00,3219.48,9200.36,Stayed,,
0133-BMFZO,Female,40,No,0,Alhambra,91803,34.07473600,-118.14595900,0,2,None,Yes,36.81,No,Yes,"Fiber Optic",16.00,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",86.25,181.65,0.00,0.00,73.62,255.27,Churned,Competitor,"Competitor offered higher download speeds"
0134-XWXCE,Female,76,No,0,"Santa Monica",90403,34.03152900,-118.49115600,0,44,None,Yes,7.72,No,Yes,DSL,17.00,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",74.85,3268.05,17.91,0.00,339.68,3589.82,Stayed,,
0135-NMXAP,Female,57,No,0,Lodi,95240,38.12354400,-121.15907800,0,12,"Offer D",Yes,14.38,Yes,Yes,"Fiber Optic",6.00,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.75,1052.40,0.00,0.00,172.56,1224.96,Churned,Attitude,"Attitude of support person"
0136-IFMYD,Male,71,Yes,0,"Los Angeles",90001,33.97361600,-118.24902000,1,69,None,Yes,18.41,Yes,Yes,"Fiber Optic",17.00,No,Yes,Yes,Yes,Yes,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",109.95,7634.25,0.00,0.00,1270.29,8904.54,Stayed,,
0137-OCGAB,Female,25,No,0,Fairfield,94533,38.28713600,-122.02711000,0,1,"Offer E",Yes,1.23,Yes,Yes,"Fiber Optic",69.00,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Mailed Check",80.20,80.20,0.00,0.00,1.23,81.43,Churned,Price,"Lack of affordable download/upload speed"
0139-IVFJG,Female,19,Yes,0,Temecula,92592,33.50725500,-117.02947300,10,2,None,Yes,4.65,No,Yes,"Fiber Optic",53.00,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",90.35,190.50,0.00,0.00,9.30,199.80,Joined,,
0141-YEAYS,Female,77,No,0,Fallbrook,92028,33.36257500,-117.29964400,0,27,None,Yes,2.97,Yes,Yes,"Fiber Optic",4.00,No,Yes,Yes,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",86.45,2401.05,0.00,0.00,80.19,2481.24,Stayed,,
0147-ESWWR,Female,73,Yes,0,Atascadero,93422,35.45391200,-120.69461000,9,39,None,Yes,20.15,Yes,Yes,"Fiber Optic",21.00,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",101.25,3949.15,0.00,0.00,785.85,4735.00,Stayed,,
0148-DCDOS,Male,41,No,0,Planada,95365,37.32972500,-120.30639900,0,25,None,Yes,34.88,Yes,Yes,"Fiber Optic",8.00,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.70,2362.10,0.00,0.00,872.00,3234.10,Churned,Competitor,"Competitor had better devices"
0151-ONTOV,Female,43,No,0,Moorpark,93021,34.31294500,-118.85816900,0,1,"Offer E",Yes,39.81,No,Yes,"Fiber Optic",23.00,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Mailed Check",70.90,70.90,0.00,0.00,39.81,110.71,Churned,Competitor,"Competitor had better devices"
0156-FVPTA,Male,48,Yes,0,Solvang,93463,34.62439900,-120.13787500,1,22,"Offer D",Yes,27.24,No,Yes,DSL,21.00,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",54.20,1152.70,0.00,0.00,599.28,1751.98,Churned,Attitude,"Attitude of service provider"
0164-APGRB,Female,56,No,0,Calistoga,94515,38.62961800,-122.59321600,0,72,"Offer A",Yes,48.37,Yes,Yes,"Fiber Optic",5.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",114.90,8496.70,0.00,0.00,3482.64,11979.34,Stayed,,
0168-XZKBB,Female,34,Yes,0,Boron,93516,34.95703000,-117.73045000,8,19,None,Yes,7.84,Yes,Yes,"Fiber Optic",16.00,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",86.85,1564.40,0.00,0.00,148.96,1713.36,Stayed,,
0177-PXBAT,Male,78,Yes,0,"Desert Center",92239,33.88960500,-115.25700900,7,33,None,Yes,25.15,Yes,Yes,"Fiber Optic",20.00,Yes,No,Yes,Yes,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",109.90,3694.70,0.00,0.00,829.95,4524.65,Stayed,,
0178-SZBHO,Male,54,Yes,1,Tuolumne,95379,37.93976800,-120.18800200,7,47,None,Yes,1.09,Yes,Yes,"Fiber Optic",13.00,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",87.20,4017.45,0.00,0.00,51.23,4068.68,Stayed,,
0181-RITDD,Male,42,Yes,3,"San Diego",92120,32.80786700,-117.06099300,2,62,None,Yes,1.76,No,Yes,"Fiber Optic",20.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",108.15,6825.65,0.00,0.00,109.12,6934.77,Stayed,,
0186-CAERR,Male,22,No,0,Auburn,95603,38.91288100,-121.08276600,0,71,None,Yes,2.88,Yes,Yes,"Fiber Optic",48.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",116.30,8309.55,0.00,0.00,204.48,8514.03,Stayed,,
0187-QSXOE,Male,71,Yes,0,Fresno,93725,36.62363200,-119.74132200,8,7,None,Yes,41.97,No,Yes,"Fiber Optic",11.00,No,No,No,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",89.00,605.45,0.00,0.00,293.79,899.24,Stayed,,
0187-WZNAB,Female,56,Yes,2,"Del Rey",93616,36.65746200,-119.59529300,6,27,"Offer C",Yes,46.66,No,Yes,"Fiber Optic",28.00,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,"Credit Card",74.40,1972.35,0.00,0.00,1259.82,3232.17,Stayed,,
0191-ZHSKZ,Male,80,No,0,Hawthorne,90250,33.91477500,-118.34808300,0,30,None,Yes,38.61,No,Yes,DSL,5.00,Yes,Yes,No,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",74.75,2111.30,0.00,0.00,1158.30,3269.60,Stayed,,
0193-ESZXP,Female,73,Yes,0,Oceano,93445,35.05969500,-120.60474100,1,58,None,Yes,16.94,No,Yes,"Fiber Optic",19.00,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",105.50,6205.50,0.00,0.00,982.52,7188.02,Churned,Attitude,"Attitude of support person"
0195-IESCP,Male,26,Yes,0,Armona,93202,36.31597900,-119.71085200,1,10,"Offer D",Yes,2.02,Yes,Yes,"Fiber Optic",82.00,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",85.25,855.30,0.00,100.00,20.20,975.50,Churned,Competitor,"Competitor offered more data"
0196-JTUQI,Female,59,No,0,Clarksburg,95612,38.38464800,-121.57870100,0,9,None,Yes,9.27,Yes,Yes,"Fiber Optic",28.00,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",75.20,633.85,0.00,0.00,83.43,717.28,Stayed,,
0196-VULGZ,Female,78,Yes,0,Irvine,92620,33.71613600,-117.75257400,1,6,None,Yes,28.71,Yes,Yes,"Fiber Optic",17.00,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",84.35,474.90,0.00,0.00,172.26,647.16,Churned,Other,Deceased
0197-PNKNK,Female,47,Yes,1,"Scotts Valley",95066,37.07017700,-122.01007700,7,69,None,Yes,38.92,Yes,Yes,"Fiber Optic",16.00,Yes,No,Yes,No,No,No,No,No,"One Year",No,"Bank Withdrawal",84.45,5848.60,0.00,40.00,2685.48,8574.08,Stayed,,
0201-MIBOL,Female,68,No,0,Salida,95368,37.71315200,-121.08739000,0,66,None,Yes,10.45,Yes,Yes,"Fiber Optic",20.00,Yes,No,No,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",102.40,6471.85,0.00,0.00,689.70,7161.55,Stayed,,
0201-OAMXR,Female,30,No,0,Mckinleyville,95519,40.96501100,-124.01525500,0,70,"Offer A",Yes,10.21,Yes,Yes,"Fiber Optic",52.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",115.55,8127.60,0.00,0.00,714.70,8842.30,Churned,Dissatisfaction,"Network reliability"
0206-TBWLC,Female,63,Yes,0,Calimesa,92320,33.98278700,-117.05762700,7,54,"Offer B",Yes,11.40,Yes,Yes,"Fiber Optic",26.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",114.65,6049.50,0.00,0.00,615.60,6665.10,Stayed,,
0207-MDKNV,Female,54,No,0,"Daly City",94014,37.69156100,-122.44520200,0,15,None,Yes,22.39,No,Yes,"Fiber Optic",7.00,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,"Bank Withdrawal",105.10,1582.75,0.00,0.00,335.85,1918.60,Churned,Competitor,"Competitor made better offer"
0215-BQKGS,Male,52,No,0,"Garden Grove",92844,33.76647600,-117.96979500,0,30,"Offer C",Yes,24.73,No,Yes,"Fiber Optic",20.00,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,"Credit Card",84.30,2438.60,0.00,130.00,741.90,3310.50,Stayed,,
